-9 -9.1 3 13
-8.4 -8.1 0 1
-7.4 -7.5 0 0
-9.3 -6 0 1
-6 -9 0 0
-10 -7 0 1
-14 -3.5 0 0
-13.1 -3.7 0 1
-12.3 -5 0 0
-14.6 -10 0 1
-15.3 -10 0 0
-11 -4.7 0 1
-13 -9.9 0 0
-13.9 -8 0 0
-12 -3.1 0 1
-14.7 -2 3 13
-13.3 -5 3 13
-16 -5.4 3 12
-16 -6 3 4
-16 -6.6 3 8
-16 -4.8 3 0
-16 -4.2 3 1
-16.6 -6.6 3 3
-16.6 -6 3 0
-16.6 -4.8 3 0
-16.6 -5.4 3 0
-16.6 -4.2 3 1
-17.2 -6 3 0
-17.2 -6.6 3 3
-17.2 -4.8 3 0
-17.2 -5.4 3 0
-17.2 -4.2 3 1
-15.4 -4.2 3 5
-15.4 -5.4 3 8
-15.4 -4.8 3 4
-17.8 -4.2 3 6
-17.8 -4.8 3 2
-17.8 -5.4 3 2
-17.8 -6 3 2
-17.8 -6.6 3 7
-18.5 -6.3 0 1
-19.3 -5 0 0
-19.1 -6.7 0 0
-17.3 -3.2 0 1
-18.5 -4.2 0 0
-18.3 -5 0 1
-15.4 -3.4 0 1
-15.4 -7.3 0 1
-19.6 -10 0 1
-18.9 -9.8 0 0
-17 -7.4 0 0
-16.8 -8.5 0 1
-14.3 -1 0 0
-15.7 -1.5 0 1
-8.4 -1.2 0 0
-7 -3.4 0 0
-7.5 -4.1 0 1
-5.4 -3.2 0 1
-4.9 -4.9 0 0
-6.4 -3 0 0
-21.7 -13.7 1 6
-9 -12.9 1 5
-10.5  -12.9 1 5
-12 -12.9 1 5
-13.5 -12.9 1 5
-15 -12.9 1 5
-16.5 -12.9 1 5
-18 -12.9 1 5
-19.5 -12.9 1 5
-10 -11.1 1 13
-11.5 -11.1 1 13
-13 -11.1 1 13
-14.5 -11.1 1 13
-16 -11.1 1 13
-17.5 -11.1 1 13
-19 -11.1 1 13
-20.5 -11.1 1 13
-10 -14.1 1 13
-11.5 -14.1 1 13
-13 -14.1 1 13
-14.5 -14.1 1 13
-16 -14.1 1 13
-17.5 -14.1 1 13
-19 -14.1 1 13
-20.4 -14.1 1 13
-9 -15.9 1 5
-10.5  -15.9 1 5
-12 -15.9 1 5
-13.5 -15.9 1 5
-15 -15.9 1 5
-16.5 -15.9 1 5
-18 -15.9 1 5
-19.5 -15.9 1 5
-27	-10.8	1	37
-27	-11.4 	1	36
-27	-12	1	34
-26.4	-10.8	1	36
-26.4	-11.4	1	36
-25.8	-10.8	1	34
-24.8 -11.4 1 24
-24.2 -11.4 1 1
-23.6 -11.4 1 23
-23 -11.4 1 24
-22.4 -11.4 1 1
-21.8 -11.4 1 22
-24.8 -12.6 1 23
-24.2 -12.6 1 22
-23.6 -12.6 1 22
-23 -12.6 1 37
-22.4 -12.6 1 1
-21.8 -12.6 1 24
-1.1 -1 1 26
-0.3 -1 1 27
-0.5 2.5 1 28
-2.4 -9 1 10
-2.4 -9.6 1 10
-2.4 -8.4 1 0
-2.4 -7.8 2 3
-1.8 -7.8 2 0
-2.4 -7.2 2 0
-2.4 -6.6 2 0
-2.4 -6 2 0
-2.4 -5.4 2 0
-2.4 -4.8 2 0
-2.4 -4.2 2 0
-2.4 -3.6 2 0
-2.4 -3 2 0
-2.4 -2.4 2 2
-1.8 -7.2 2 0
-1.8 -6.6 2 0
-1.8 -6 2 0
-1.8 -5.4 2 0
-1.8 -4.8 2 0
-1.8 -4.2 2 0
-1.8 -3.6 2 0
-1.8 -3 2 0
-1.8 -2.4 2 0
-1.8 -1.8 2 2
-1.2 -1.8 2 0
-1.2 -7.2 2 0
-1.2 -6.6 2 0
-1.2 -6 2 0
-1.2 -5.4 2 0
-1.2 -4.8 2 0
-1.2 -4.2 2 0
-1.2 -3.6 2 0
-1.2 -3 2 0
-1.2 -2.4 2 0
-1.2 -7.8 2 0
-0.6 -7.8 2 4
-0.6 -1.8 2 1 
-0 -7.2 2 4
-0.6 -7.2 2 0
-0.6 -6.6 2 0
-0.6 -6 2 0
-0.6 -5.4 2 0
-0.6 -4.8 2 0
-0.6 -4.2 2 0
-0.6 -3.6 2 0
-0.6 -3 2 0
-0.6 -2.4 2 0
-0 -6.6 2 0
-0 -6 2 0
-0 -5.4 2 1
-0 -3.6 2 4
-0 -3 2 0
-0 -2.4 2 1
0.6 -3 2 0
0.6 -2.4 2 2
0.6 -3.6 2 3
1.2 -3.6 2 0
1.2 -2.4 2 0
1.2 -3 2 0
1.8 -2.4 2 0
1.8 -3 2 0
1.8 -3.6 2 0
2.4 -3.6 2 0
2.4 -2.4 2 0
2.4 -3 2 0
3 -3 2 0
3 -2.4 2 0
3 -3.6 2 0
3.6 -3 2 0
3.6 -3.6 2 0
3.6 -2.4 2 0
4.2 -2.4 2 0
4.2 -3.6 2 0
4.2 -3 2 0
4.8 -3 2 0
4.8 -3.6 2 0
4.8 -2.4 2 0
5.4 -2.4 2 0
5.4 -3.6 2 0
6 -1.8 2 2
6 -2.4 2 0
6 -3 2 0
6 -3.6 2 0
6 -4.2 2 3
6 -4.8 2 2
6 -5.4 2 0
6 -6 2 0
6 -6.6 2 0
6 -7.2 2 0
6 -7.8 2 0
6 -8.4 2 0
5.4 -9 2 2
6 -9 2 0
6.6 -4.2 2 0
6.6 -3.6 2 0
6.6 -3 2 0
6.6 -2.4 2 0
6.6 -1.8 2 0
6.6 -4.8 2 0
6.6 -5.4 2 0
6.6 -6 2 0
6.6 -6.6 2 0
6.6 -7.2 2 0
6.6 -7.8 2 0
6.6 -8.4 2 0
6.6 -9 2 0
7.2 -9 2 1
7.2 -1.8 2 1
7.2 -2.4 2 0
7.2 -3 2 4
7.2 -6.6 2 1
7.2 -7.2 2 4
0	0	0	0

line of all 0s is needed to end the actual data in the file
x	z	type		shape
		0 tree
				0 pine
				1 round
		1 building
				0   generic square building
				1   generic high-rise
				2   generic beige building
				3   power line tower
				4   cooling tower
				5   home
				6   fast food
				7   granite monument
				8   hanger
				9   water tower
				10  building under construction
				11  factory smokestacks
				12  factory
				13  180 degree rotated home
				14  airport control tower
				15  strip mall-red
				16  strip mall-yellow
				17  strip mall-blue
				18  90 degree rotated generic square building
				19  end of city hall
				20  middle of city hall
				21  front of city hall
				22  office building (dk grey)
				23  office building (lt grey)
				24  office building (white)
				25  satellite dish
				26  drive-in theatre screen (l)
				27  drive-in theatre screen (r)
				28  drive-in concession stand
				29  fountain
				30  warehouse
				31  maser battery (with maser)
				32  helicopter pad (with helicopter)
				33  hero beam-in effect
		2 lake
				0   center
				1   |/
				2   \|
				3   /|
				4   |\
		3 hill		0   center
				1   -z side
				2   +x side
				3   +z side
				4   -x side
				5   ouside corner
				6   ouside corner
				7   ouside corner
				8   ouside corner
				9   inside corner
				10  inside corner
				11  inside corner
				12  inside corner
				13  complete 1-unit hill
nother possible office building
-27	-10.6	1	37
-27	-11.2	1	36
-27	-11.8	1	34
-26.4	-10.6	1	36
-26.4	-11.2	1	36
-25.8	-10.6	1	34
