-9.5 -12.5 3
-9.5 -13 3
-11 -12.5 3
-11 -13 3
-12.5 -12.5 3
-12.5 -13 3
-14 -12.5 3
-14 -13 3
-15.5 -12.5 3
-15.5 -13 3
-17 -12.5 3
-17 -13 3
-18.5 -12.5 3
-18.5 -13 3
-20 -12.5 3
-20 -13 3
-9.5 -11.5 3
-9.5 -11 3
-11 -11.5 3
-11 -11 3
-12.5 -11.5 3
-12.5 -11 3
-14 -11.5 3
-14 -11 3
-15.5 -11.5 3
-15.5 -11 3
-17 -11.5 3
-17 -11 3
-18.5 -11.5 3
-18.5 -11 3
-20  -11.5 3
-20 -11 3
-9.5 -14.5 3
-9.5 -14 3
-11 -14.5 3
-11 -14 3
-12.5 -14.5 3
-12.5 -14 3
-14 -14.5 3
-14 -14 3
-15.5 -14.5 3
-15.5 -14 3
-17 -14.5 3
-17 -14 3
-18.5 -14.5 3
-18.5 -14 3
-20 -14.5 3
-20 -14 3
-9.5 -15.5 3
-9.5 -16 3
-11 -15.5 3
-11 -16 3
-12.5 -15.5 3
-12.5 -16 3
-14 -15.5 3
-14 -16 3
-15.5 -15.5 3
-15.5 -16 3
-17 -15.5 3
-17 -16 3
-18.5 -15.5 3
-18.5 -16 3
-20 -15.5 3
-20 -16 3
-8 -14.5 1
-8 -14 1
-8 -13.5 1
-8 -13 1
-8 -12.5 1
-8 -12 2
-8.5 -12 0
-9 -12 0
-9.5 -12 0
-10 -12 0
-10.5 -12 0
-11 -12 0
-11.5 -12 0
-12 -12 0
-12.5 -12 0
-13 -12 0
-13.5 -12 0
-14 -12 0
-14.5 -12 0
-15 -12 0
-15.5 -12 0
-16 -12 0
-16.5 -12 0
-17 -12 0
-17.5 -12 0
-18 -12 0
-18.5 -12 0
-19 -12 0
-19.5 -12 0
-20 -12 0
-20.5 -12 0
-21 -12 2
-21 -12.5 1
-21 -13 1
-21 -13.5 1
-21 -14 1
-21 -14.5 1
-21 -15 2
-20.5 -15 0
-20 -15 0
-19.5 -15 0
-19 -15 0
-18.5 -15 0
-18 -15 0
-17.5 -15 0
-17 -15 0
-16.5 -15 0
-16 -15 0
-15.5 -15 0
-15 -15 0
-14.5 -15 0
-14 -15 0
-13.5 -15 0
-13 -15 0
-12.5 -15 0
-12 -15 0
-11.5 -15 0
-11 -15 0
-10.5 -15 0
-10 -15 0
-9.5 -15 0
-9 -15 0
-8.5 -15 0
-8 -15 2
-21.5 -12 0
-22 -12 0
-22.5 -12 0
-23 -12 0
-23.5 -12 0
-24 -12 0
-24.5 -12 0
-25 -12 0
-25.5 -12 0
-26 -12 2
-25 -11.5 3
-25 -11 3
-24.5 -11.5 3
-24.5 -11 3
-24 -11.5 3
-24 -11 3
-23.5 -11.5 3
-23.5 -11 3
-23 -11.5 3
-23 -11 3
-22.5 -11.5 3
-22.5 -11 3
-22 -11.5 3
-22 -11 3
-21.5 -11.5 3
-21.5 -11 3
-25 -12.5 3
-25 -13 3
-24.5 -12.5 3
-24.5 -13 3
-24 -12.5 3
-24 -13 3
-23.5 -12.5 3
-23.5 -13 3
-23 -12.5 3
-23 -13 3
-22.5 -12.5 3
-22.5 -13 3
-22 -12.5 3
-22 -13 3
-21.5 -12.5 3
-21.5 -13 3
-7.5 -12 0
-7 -12 0
-6.5 -12 0
-6 -12 0
-5.5 -12 0
-5 -12 0
-4.5 -12 0
-4 -12 0
-3.5 -12 0
-3 -12 2
-3 -11.5 1
-3 -11 1
-3 -10.5 1
-3 -10 1
-3 -9.5 1
-3 -9 1
-3 -8.5 1
-3 -8 1
-3 -7.5 1
-3 -7 1
-3 -6.5 1
-3 -6 1
-3 -5.5 1
-3 -5 1
-3 -4.5 1
-3 -4 1
-3 -3.5 1
-3 -3 1
-3 -2.5 1
-3 -2 1
-3 -1.5 1
-3 -1 1
-3 -0.5 1
-3 -0 1
-3 0 1
-3 0.5 1
-3 1 1
-3 1.5 1
-3 2 1
-3 2.5 1
-3 3 1
-3 3.5 1
-3 4 1
-2.5 4 3
-2 4 3
-1.5 4 3
-1 4 3
-0.5 4 3
-0.5 3.5 3
-1.5 3 3
-0.5 3 3
-0 3 3
-1 3 3
-1 2.5 3
-0 2.5 3
-1.5 2.5 3
-0.5 2.5 3
-1 2 3
-0 2 3
-1.5 2 3
-0.5 2 3
-1 1.5 3
-0 1.5 3
-1.5 1.5 3
-0.5 1.5 3
-1 1 3
-0 1 3
-1.5 1 3
-0.5 1 3
-1 0.5 3
-0 0.5 3
-1.5 0.5 3
-0.5 0.5 3
-1 0 3
-0 0 3
-1.5 0 3
-0.5 0 3
5.4 -3 3
0	0	0
row of 0s ends the actual data
horz line	0
vert line	1
no line		2
grey		3