-14.5      -10.0      3
-14.0	   -10.0	  3
-13.5	   -10.0  	  3
-13.0       -10.0     3
-12.5       -10.0     3
-12.0       -10.0     3
-11.5       -10.0     3
-11.0       -10.0     3

-14.5      -10.5     3
-14.0	   -10.5  3
-13.5	   -10.5 	  3
-13.0       -10.5    3
-12.5       -10.5    3
-12.0       -10.5    3
-11.5       -10.5    3
-11.0       -10.5    3

-14.5      -11.0      3
-14.0	   -11.0	  3


-11.5       -11.0     3
-11.0       -11.0     3

-14.5      -11.5      3
-14.0	   -11.5	  3

-13.0       -11.5     3
-12.5       -11.5     3

-11.5       -11.5     3
-11.0       -11.5     3

-14.5      -12.0      3
-14.0	   -12.0	  3

-13.0       -12.0     3
-12.5       -12.0     3

-11.5       -12.0     3
-11.0       -12.0     3

-14.5      -12.5      3
-14.0	   -12.5	  3

-13.0       -12.5     3
-12.5       -12.5     3

-11.5       -12.5     3
-11.0       -12.5     3

-14.5      -13.0      3
-14.0	   -13.0	  3

-13.0       -13.0     3
-12.5       -13.0     3

-11.5       -13.0     3
-11.0       -13.0     3

-14.5      -13.5      3
-14.0	   -13.5	  3

-13.0       -13.5     3
-12.5       -13.5     3

-11.5       -13.5     3
-11.0       -13.5     3

-14.5      -14.0      3
-14.0	   -14.0	  3





-11.5       -14.0     3
-11.0       -14.0     3

-14.5      -14.5      3
-14.0	   -14.5	  3
-13.5	   -14.5  	  3
-13.0       -14.5     3
-12.5       -14.5     3
-12.0       -14.5     3
-11.5       -14.5     3
-11.0       -14.5     3

-14.5      -15.0      3
-14.0	   -15.0	  3
-13.5	   -15.0  	  3
-13.0       -15.0     3
-12.5       -15.0     3
-12.0       -15.0     3
-11.5       -15.0     3
-11.0       -15.0     3




-13.0       -9.5     3
-12.5       -9.5     3

-13.0       -9.0     3
-12.5       -9.0     3

-13.0       -8.5     3
-12.5       -8.5     3

-13.0       -8.0     3
-12.5       -8.0     3

-13.0       -7.5     3
-12.5       -7.5     3

-13.0       -7.0     3
-12.5       -7.0     3

-13.0       -6.5     3
-12.5       -6.5     3

-13.0       -6.0     3
-12.5       -6.0     3

