-12.75	 -12.5	 1	29

-14.0   -6.0      1    16
-14.0   -5.25     1    17
-14.0   -4.5      1    15

-24.25	 -12.5	 1	7

-10.0    -11.0     0  0
-10.0    -14.5     0  0
-15.5    -11.0     0  0
-15.5    -14.5     0  0

-26.5    -11.0     0  1
-26.5    -14.5     0  1
-22.0    -11.0     0  1
-22.0    -14.5     0  1

 1.0   -3.0   1   5
 0.0   -2.5   0   1
  
-1.0   -3.0   1   5
-2.0   -2.5   0   1

-3.0   -3.0   1   5
-4.0   -2.5   0   1

-5.0   -3.0   1   5
-6.0   -2.5   0   1

-7.0   -3.0   1   5
-8.0   -2.5   0   1

-9.0   -3.0   1   5
-10.0   -2.5   0   1

-11.0   -3.0   1   5
-12.0   -2.5   0   1

 2.5    -3.0   1	34
 3.0	-3.0   1	36
 3.5	-3.0   1	37
 4.0    -3.0   1    36
 4.0    -2.5   1    34
 
 3.0     2.0   1    25
 0.5     2.0   1    30 

 4.0     -0.5    1    23
-5.0     1.5   3    13
 6.0      1.0   3    13
 
 3.0     18.0   3    13
 
  4.0   10.0   0    0
  7.0    8.0   0    0
  6.0    5.0   0    0
  2.0   10.0   0    0
  5.0   12.0   0    0
  9.0    4.0   0    0
  4.0    1.0   0    0
  3.0    6.0   0    0
  6.0   11.0   0    0
  
  14.0   17.0   0    0
  17.0   18.0   0    0
  16.0   15.0   0    0
  12.0   12.0   0    0
  15.0   13.0   0    0
  19.0   14.0   0    0
  14.0   11.0   0    0
  13.0   16.0   0    0
  16.0   18.0   0    0
  
  4.0   -10.0   0    0
  7.0    -8.0   0    0
  6.0    -5.0   0    0
  2.0   -10.0   0    0
  5.0   -12.0   0    0
  9.0    -4.0   0    0
  4.0    -1.0   0    0
  3.0    -6.0   0    0
  6.0   -11.0   0    0
  
  14.0   -17.0   0    0
  17.0   -18.0   0    0
  16.0   -15.0   0    0



  14.0   -11.0   0    0
  13.0   -16.0   0    0
  16.0   -18.0   0    0
 

 -17.5  -4.5    2    0
 -18.0  -4.5    2    0
 -18.5  -4.5    2    0
 -19.0  -4.5    2    0
 
 -19.0   -4.0   2    2
 -18.0   -4.0    2    0
 -18.5   -4.0    2    0
 -17.5   -4.0   2    1

 
 -19.0   -5.0   2    3
 -18.0  -5.0    2    0
 -18.5  -5.0    2    0
 -17.5   -5.0   2    4
 
 

 
  22.0   22.0   1    11
  22.6   22.0   1    11 
  22.0   22.6   1    12
  22.6   22.6   1    12
  
  23.0   24.0   1    4
  23.0   24.7   1    4
  23.0   25.4   1    0 
  
  21.0   25.0   1    3
  18.0   25.0   1    3
  15.0   25.0   1    3
  12.0   25.0   1    3
   9.0   25.0   1    3
   6.0   25.0   1    3
   3.0   25.0   1    3
   0.0   25.0   1    3
  -3.5   25.0   1    3
  -3.5   22.0   1    3
  -3.5   19.0   1    3
  -3.5   16.0   1    3
  -3.5   13.0   1    3
  -3.5   10.0   1    3
  -3.5    7.0   1    3
  -3.5    4.0   1    3  
  -3.5    1.0   1    3
  
  
  -22.0    10.5  1    26
  -21.25   10.5  1    27
  
  -22.5   13.25  1    28  
  
  -10.0   10.0   0    0
  -13.0    8.0   0    0
  -12.0    5.0   0    0
   -6.0   10.0   0    0
  -17.0   12.0   0    0
  -11.0    4.0   0    0
   -9.0    1.0   0    0
  -18.0    6.0   0    0
  -14.0   11.0   0    0
  
  
  -14.5   20.5   1    32
  -15.5   20.5   1    32
  -16.5   20.5   1    32
  
  -14.5   22.5   1    8
  -15.5   22.5   1    8
  -16.5   22.5   1    8 
   
   15.0  -13.0   1    8
   16.0  -13.0   1    14
   17.0  -13.0   1    8                  
   
   
  -23.5  -1.0    1    6
  
  -17.5  -1.0    1    10
  -18.2  -1.0    1    10
    
  -1.5  7.0    1    1 
  -1.5  8.5    1    1
  -1.5  10.0    1    2
  -1.5  11.0    1    2 
     
         -1.0
0	0	0	0


line of all 0s is needed to end the actual data in the file
x	z	type		shape
		0 tree
				0 pine
				1 round

		1 building
				0   generic square building
				1   generic high-rise
				2   generic beige building
				3   power line tower
				4   cooling tower
				5   home
				6   fast food
				7   granite monument
				8   hanger
				9   water tower
				10  building under construction
				11  factory smokestacks
				12  factory
				13  180 degree rotated home
				14  airport control tower
				15  strip mall-red
				16  strip mall-yellow
				17  strip mall-blue
				18  90 degree rotated generic square building
				19  end of city hall
				20  middle of city hall
				21  front of city hall
				22  office building (dk grey)
				23  office building (lt grey)
				24  office building (white)
				25  satellite dish
				26  drive-in theatre screen (l)
				27  drive-in theatre screen (r)
				28  drive-in concession stand
				29  fountain
				30  warehouse
				31  maser battery (with maser)
				32  helicopter pad (with helicopter)
				33  hero beam-in effect

		2 lake
				0   center
				1   |/
				2   \|
				3   /|
				4   |\

		3 hill		0   center
				1   -z side
				2   +x side
				3   +z side
				4   -x side
				5   ouside corner
				6   ouside corner
				7   ouside corner
				8   ouside corner
				9   inside corner
				10  inside corner
				11  inside corner
				12  inside corner
				13  complete 1-unit hill

nother possible office building

-27	-10.6	1	37
-27	-11.2	1	36
-27	-11.8	1	34
-26.4	-10.6	1	36
-26.4	-11.2	1	36
-25.8	-10.6	1	34
